Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,UT1,AA5,UT2,AA6,UT3,AA7,UT4,AA8
Q13443,Q13443;Q13443-2;A0AVL1;F8WC54;A0A7I2V5N8;A0A7I2V2Z6;A0A7I2V3W3;A0A7I2YQ97;A0A7I2V4B3;A0A7I2V3C1;A0A7I2V3B5;A0A7I2V2E1,ADAM9_HUMAN,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,1.37E+06,1.33E+06,1.19E+06,1.13E+06,1.18E+06,1.40E+06,1.12E+06,1.24E+06
Q13444;Q13444-10;Q13444-11;Q13444-12;Q13444-13;Q13444-2;Q13444-3;Q13444-4;Q13444-5;Q13444-6;Q13444-7;Q13444-8;Q13444-9,Q13444;Q13444-2;Q13444-3;Q13444-4;Q13444-5;Q13444-6;Q13444-7;Q13444-8;Q13444-9;Q13444-10;Q13444-11;Q13444-12;Q13444-13,ADA15_HUMAN,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,634163,,638762,,507124,503005,466048,
Q13445,Q13445;K7EIN4;K7EQ63,TMED1_HUMAN,TMED1,Transmembrane emp24 domain-containing protein 1,1.61E+06,1.26E+06,1.04E+06,1.79E+06,1.36E+06,1.68E+06,1.81E+06,1.42E+06
Q13451,Q13451,FKBP5_HUMAN,FKBP5,Peptidyl-prolyl cis-trans isomerase FKBP5,9.83E+06,9.97E+06,9.74E+06,1.06E+07,8.91E+06,1.11E+07,9.34E+06,1.15E+07
Q13459;Q13459-2,Q13459;Q13459-2;M0R300;M0R0P8,MYO9B_HUMAN,MYO9B,Unconventional myosin-IXb,,,3.27E+06,4.05E+06,3.71E+06,3.79E+06,1.91E+06,3.97E+06
Q13464,Q13464;J3KRH6,ROCK1_HUMAN,ROCK1,Rho-associated protein kinase 1,1.18E+06,1.53E+06,1.23E+06,1.40E+06,1.21E+06,1.17E+06,1.74E+06,1.35E+06
Q13480;Q13480-2,Q13480;Q13480-2;B7Z3B9,GAB1_HUMAN,GAB1,GRB2-associated-binding protein 1,,627080,859012,539157,667056,,716097,671927
Q13485,Q13485;K7EL18;K7ES96;K7EIJ2;K7EIU8,SMAD4_HUMAN,SMAD4,Mothers against decapentaplegic homolog 4,3.24E+06,3.99E+06,3.53E+06,3.95E+06,4.20E+06,4.12E+06,3.80E+06,3.69E+06
Q13490;Q13490-2,Q13490;Q13490-2;H0YDY3;E9PQZ9;E9PMH5;A0A087X2B2,BIRC2_HUMAN,BIRC2,Baculoviral IAP repeat-containing protein 2,379279,503868,480130,482826,533094,460192,539505,621620
Q13492;Q13492-2;Q13492-3;Q13492-5,Q13492;Q13492-2;Q13492-3;Q13492-4;Q13492-5,PICAL_HUMAN,PICALM,Phosphatidylinositol-binding clathrin assembly protein,3.10E+06,2.43E+06,2.82E+06,2.79E+06,2.90E+06,2.56E+06,3.34E+06,2.83E+06
Q13501,Q13501;E7EMC7;E3W990;C9J6J8;D6RBF1,SQSTM_HUMAN,SQSTM1,Sequestosome-1,3.95E+06,2.87E+06,4.13E+06,2.93E+06,4.18E+06,3.02E+06,4.09E+06,2.98E+06
Q13503,Q13503;F5H872,MED21_HUMAN,MED21,Mediator of RNA polymerase II transcription subunit 21,,,637229,564639,774139,,744805,724108
Q13505;Q13505-3,Q13505;Q13505-3,MTX1_HUMAN,MTX1,Metaxin-1,5.46E+06,5.67E+06,5.43E+06,6.00E+06,6.39E+06,6.33E+06,4.71E+06,5.02E+06
Q13506;Q13506-2,Q13506;Q13506-2;H0Y4C5;B8ZZS2,NAB1_HUMAN,NAB1,NGFI-A-binding protein 1,277183,165960,308943,,227376,164514,361271,147961
Q13509,Q13509;Q13509-2;A0A0B4J269,TBB3_HUMAN,TUBB3,Tubulin beta-3 chain,3.19E+06,2.21E+06,1.66E+06,2.67E+06,1.87E+06,1.95E+06,,2.10E+06
Q13510;Q13510-2;Q13510-3,Q13510;Q13510-2;Q13510-3;A0A1B0GUA4;E7EMM4;A0A1B0GUG1;A0A1B0GW68;A0A1B0GUH5;A0A1B0GTM3;A0A1B0GUW4;A0A1B0GV06;A0A1B0GTZ5;A0A1B0GUE3;A0A1B0GTP7,ASAH1_HUMAN,ASAH1,Acid ceramidase,2.93E+06,3.25E+06,2.79E+06,3.55E+06,2.86E+06,3.65E+06,3.61E+06,2.95E+06
Q13523,Q13523;H0YDJ3,PRP4B_HUMAN,PRPF4B,Serine/threonine-protein kinase PRP4 homolog,1.62E+07,1.91E+07,1.77E+07,1.76E+07,1.49E+07,2.05E+07,1.71E+07,1.91E+07
Q13526,Q13526;K7EMU7,PIN1_HUMAN,PIN1,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,2.14E+07,2.34E+07,2.04E+07,1.91E+07,2.09E+07,1.98E+07,2.30E+07,2.04E+07
Q13535;Q13535-2;Q13535-3,Q13535;Q13535-2;Q13535-3,ATR_HUMAN,ATR,Serine/threonine-protein kinase ATR,2.52E+06,2.45E+06,2.83E+06,2.51E+06,2.77E+06,2.30E+06,2.68E+06,2.15E+06
Q13541,Q13541,4EBP1_HUMAN,EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,3.03E+06,8.39E+06,2.94E+06,5.12E+06,3.81E+06,7.05E+06,3.38E+06,7.55E+06
Q13542,Q13542,4EBP2_HUMAN,EIF4EBP2,Eukaryotic translation initiation factor 4E-binding protein 2,1.56E+06,2.21E+06,1.64E+06,1.93E+06,1.74E+06,2.28E+06,1.80E+06,2.22E+06
Q13546,Q13546;Q13546-2,RIPK1_HUMAN,RIPK1,Receptor-interacting serine/threonine-protein kinase 1,2.67E+06,2.28E+06,2.31E+06,2.02E+06,2.40E+06,2.24E+06,2.53E+06,1.88E+06
Q13547,Q13547;Q5TEE2,HDAC1_HUMAN,HDAC1,Histone deacetylase 1,8.87E+06,7.06E+06,8.74E+06,7.89E+06,8.29E+06,7.67E+06,8.77E+06,8.29E+06
Q13555;Q13555-10;Q13555-11;Q13555-2;Q13555-3;Q13555-4;Q13555-5;Q13555-6;Q13555-7;Q13555-8;Q13555-9,Q13555;Q13555-2;Q13555-3;Q13555-4;Q13555-5;Q13555-6;Q13555-7;Q13555-8;Q13555-9;Q13555-10;Q13555-11;A0A2Q3DQE3;Q8WU40;Q5SWX3;A0A804CJ50;H0Y6G2,KCC2G_HUMAN,CAMK2G,Calcium/calmodulin-dependent protein kinase type II subunit gamma,,,11014.5,,1.36E+06,1.17E+06,1.60E+06,1.63E+06
Q13557-12,Q13557-12,KCC2D_HUMAN,CAMK2D,Isoform Delta 12 of Calcium/calmodulin-dependent protein kinase type II subunit delta,5.00E+06,6.54E+06,4.87E+06,5.02E+06,5.41E+06,5.47E+06,4.97E+06,5.45E+06
Q13561;Q13561-2;Q13561-3,Q13561;Q13561-2;Q13561-3;F8VW18;A0A7I2V4H4;F8W0U6;F8VRV7;A0A7I2V2Z2;A0A7I2V390;F8W1I6,DCTN2_HUMAN,DCTN2,Dynactin subunit 2,2.67E+07,2.59E+07,2.68E+07,2.58E+07,2.73E+07,2.39E+07,2.81E+07,2.66E+07
Q13564;Q13564-2;Q13564-4,Q13564;Q13564-2;Q13564-3;Q13564-4;J3QLH4;J3KTE3,ULA1_HUMAN,NAE1,NEDD8-activating enzyme E1 regulatory subunit,1.23E+07,1.46E+07,1.17E+07,1.38E+07,1.25E+07,1.48E+07,1.28E+07,1.51E+07
Q13569,Q13569;G8JL98;B4E127;F5H0I7;H0YH18,TDG_HUMAN,TDG,G/T mismatch-specific thymine DNA glycosylase,776890,,939575,,1.31E+06,,1.56E+06,
Q13572,Q13572;G3V4M9,ITPK1_HUMAN,ITPK1,Inositol-tetrakisphosphate 1-kinase,3.79E+06,3.26E+06,4.09E+06,3.26E+06,3.84E+06,4.25E+06,3.63E+06,2.98E+06
Q13573,Q13573;G3V3A4;G3V4X8,SNW1_HUMAN,SNW1,SNW domain-containing protein 1,2.70E+07,2.87E+07,2.79E+07,2.72E+07,2.65E+07,2.88E+07,2.82E+07,2.78E+07
Q13574;Q13574-1;Q13574-3;Q13574-4;Q13574-5;Q13574-6;Q13574-7,Q13574;Q13574-1;Q13574-3;Q13574-4;Q13574-5;Q13574-6;Q13574-7;E9PNL8,DGKZ_HUMAN,DGKZ,Diacylglycerol kinase zeta,471237,297385,878685,1.09E+06,797511,628474,655661,1.45E+06
Q13576,Q13576;E7EWC2;F5H7S7;D6R939,IQGA2_HUMAN,IQGAP2,Ras GTPase-activating-like protein IQGAP2,1.63E+06,1.98E+06,1.98E+06,2.05E+06,2.06E+06,2.20E+06,2.01E+06,2.16E+06
Q13586,Q13586;Q13586-2;E9PNJ4;G0XQ39;H0YDB2,STIM1_HUMAN,STIM1,Stromal interaction molecule 1,1.04E+06,1.22E+06,1.36E+06,1.67E+06,1.42E+06,1.50E+06,1.10E+06,1.09E+06
Q13595;Q13595-3;Q13595-4,Q13595;Q13595-2;Q13595-3;Q13595-4,TRA2A_HUMAN,TRA2A,Transformer-2 protein homolog alpha,2.01E+07,2.42E+07,2.42E+07,2.41E+07,2.01E+07,2.77E+07,2.28E+07,2.18E+07
Q13596,Q13596;Q13596-2;Q13596-3;H0YK42,SNX1_HUMAN,SNX1,Sorting nexin-1,5.49E+06,5.31E+06,6.18E+06,5.04E+06,5.55E+06,5.41E+06,5.13E+06,5.33E+06
Q13601,Q13601;Q13601-2,KRR1_HUMAN,KRR1,KRR1 small subunit processome component homolog,9.23E+06,1.03E+07,9.02E+06,9.99E+06,9.42E+06,9.09E+06,8.15E+06,1.03E+07
Q13610,Q13610;B4DJV5,PWP1_HUMAN,PWP1,Periodic tryptophan protein 1 homolog,1.08E+07,8.87E+06,9.88E+06,8.56E+06,8.44E+06,9.43E+06,9.15E+06,8.76E+06
Q13613;Q13613-2,Q13613;Q13613-2;Q8NEC6;H0YDX3;F8WA39,MTMR1_HUMAN,MTMR1,Myotubularin-related protein 1,5.14E+06,3.88E+06,5.14E+06,3.74E+06,4.53E+06,4.14E+06,5.48E+06,3.85E+06
Q13614,Q13614;Q13614-2;A0A6Q8PHS7;A0A6Q8PGS5;A0A6Q8PGV9;C9JEX3,MTMR2_HUMAN,MTMR2,Myotubularin-related protein 2,6.16E+06,3.26E+06,4.43E+06,2.93E+06,3.42E+06,3.41E+06,5.20E+06,2.35E+06
Q13615;Q13615-2;Q13615-3,Q13615;Q13615-2;Q13615-3;G5E953,MTMR3_HUMAN,MTMR3,Myotubularin-related protein 3,1.35E+06,1.19E+06,1.35E+06,1.32E+06,1.01E+06,1.07E+06,1.30E+06,674529
Q13616,Q13616;A0A590UJ21;A0A590UJM8;A0A590UJ97;A0A590UJC4;A0A590UJA0;A0A590UJ56;A0A590UJ50;A0A590UK34;A0A590UJR3,CUL1_HUMAN,CUL1,Cullin-1,9.35E+06,9.33E+06,9.45E+06,8.65E+06,9.10E+06,9.68E+06,9.99E+06,9.26E+06
Q13617;Q13617-2,Q13617;Q13617-2;Q5T2B5;A0A0A0MTN0,CUL2_HUMAN,CUL2,Cullin-2,1.20E+07,1.35E+07,1.26E+07,1.21E+07,1.08E+07,1.36E+07,1.21E+07,1.29E+07
Q13618,Q13618;Q13618-2;H7C1L6,CUL3_HUMAN,CUL3,Cullin-3,1.31E+07,1.29E+07,1.21E+07,1.30E+07,1.30E+07,1.32E+07,1.33E+07,1.28E+07
Q13619,Q13619;A0A087WWN2,CUL4A_HUMAN,CUL4A,Cullin-4A,1.11E+07,9.74E+06,1.07E+07,9.64E+06,1.05E+07,9.46E+06,1.12E+07,9.70E+06
Q13620;Q13620-1,Q13620;Q13620-1;Q13620-3;A0A7P0T9C8;A0A804CL36;K4DI93;A0A7P0T8P8;A0A7P0T954;A0A7P0T9D0;A0A7P0TAQ3;A0A7P0T9P5;A0A7P0T9L3;A0A7P0TAF9;A0A669KAX4;A0A669KBG9,CUL4B_HUMAN,CUL4B,Cullin-4B,1.20E+07,1.16E+07,1.17E+07,1.30E+07,1.25E+07,1.10E+07,1.35E+07,1.31E+07
Q13625;Q13625-3,Q13625;Q13625-2;Q13625-3;H0Y847,ASPP2_HUMAN,TP53BP2,Apoptosis-stimulating of p53 protein 2,3.60E+06,2.81E+06,3.32E+06,2.98E+06,3.64E+06,2.08E+06,3.09E+06,2.89E+06
Q13627;Q13627-2;Q13627-3;Q13627-4;Q13627-5,Q13627;Q13627-2;Q13627-3;Q13627-4;Q13627-5;A0A2R8YDF3;A0A2R8Y6L5;A0A2R8Y6I6;E7EMI5;A0A2R8Y443,DYR1A_HUMAN,DYRK1A,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,1.78E+06,2.49E+06,1.96E+06,2.49E+06,2.41E+06,2.68E+06,2.49E+06,2.76E+06
Q13630,Q13630;A0A0J9YX13;E9PP14;E9PKL9;E9PLH9;H0YE90,FCL_HUMAN,GFUS,GDP-L-fucose synthase,1.33E+07,1.62E+07,1.44E+07,1.40E+07,1.18E+07,1.47E+07,1.18E+07,1.28E+07
Q13636,Q13636;Q9UL26;J3QR51,RAB31_HUMAN,RAB31,Ras-related protein Rab-31,3.62E+06,2.42E+06,2.80E+06,2.89E+06,3.70E+06,3.93E+06,3.77E+06,1.89E+06
Q13637,Q13637,RAB32_HUMAN,RAB32,Ras-related protein Rab-32,2.14E+06,1.78E+06,2.21E+06,2.04E+06,2.17E+06,1.63E+06,2.04E+06,1.44E+06
Q13641,Q13641,TPBG_HUMAN,TPBG,Trophoblast glycoprotein,4.64E+06,5.88E+06,9.63E+06,4.98E+06,5.37E+06,4.58E+06,5.10E+06,5.09E+06
Q13642-1;Q13642-4;Q13642-5,Q13642;Q13642-1;Q13642-3;Q13642-4;Q13642-5;A0A0D9SFI6;A0A494C0D6;Q5JXI8;Q5JXH8;Q5JXH7;A0A0D9SFZ9;Q5JXH9;A0A0D9SFB0;Q5JXI3;Q5JXI2,FHL1_HUMAN,FHL1,Isoform 1 of Four and a half LIM domains protein 1,1.86E+07,3.12E+07,2.03E+07,2.70E+07,2.10E+07,2.68E+07,2.07E+07,2.84E+07
Q13643,Q13643,FHL3_HUMAN,FHL3,Four and a half LIM domains protein 3,3.75E+06,4.72E+06,3.81E+06,4.57E+06,4.07E+06,4.03E+06,4.09E+06,4.02E+06
Q13685,Q13685;H7C0R2;C9JEH3;C9JG97,AAMP_HUMAN,AAMP,Angio-associated migratory cell protein,1.96E+07,1.59E+07,1.70E+07,1.59E+07,1.82E+07,1.36E+07,1.86E+07,1.58E+07
Q13686,Q13686,ALKB1_HUMAN,ALKBH1,Nucleic acid dioxygenase ALKBH1,,989036,684165,1.17E+06,1.17E+06,1.15E+06,776466,894624
Q13724;Q13724-2,Q13724;Q13724-2;A0A3B3IRW2;A0A3B3IRK6;A0A3B3IS52,MOGS_HUMAN,MOGS,Mannosyl-oligosaccharide glucosidase,2.63E+06,2.31E+06,3.25E+06,3.88E+06,3.05E+06,3.49E+06,2.50E+06,2.70E+06
Q13740;Q13740-2,Q13740;Q13740-2;Q13740-3;F5GXJ9,CD166_HUMAN,ALCAM,CD166 antigen,7.15E+06,8.22E+06,6.51E+06,7.71E+06,7.96E+06,6.42E+06,6.00E+06,6.83E+06
Q13769,Q13769;F8WCP5;C9JXU6;C9JCL9;C9JXG5;F5GZF3;H7C441,THOC5_HUMAN,THOC5,THO complex subunit 5 homolog,4.61E+06,6.03E+06,5.38E+06,5.54E+06,5.21E+06,6.18E+06,5.29E+06,5.75E+06
Q13795;Q13795-2;Q13795-3,Q13795;Q13795-2;Q13795-3,ARFRP_HUMAN,ARFRP1,ADP-ribosylation factor-related protein 1,190112,520476,401157,650260,412652,626577,750327,473538
Q13796,Q13796;C9IZC6;F5H3B6,SHRM2_HUMAN,SHROOM2,Protein Shroom2,233403,392822,323985,313888,290389,316511,339792,381813
Q13813,Q13813;Q13813-2;Q13813-3;A0A0D9SF54;A0A0D9SGF6,SPTN1_HUMAN,SPTAN1,"Spectrin alpha chain, non-erythrocytic 1",2.94E+07,3.01E+07,2.97E+07,2.99E+07,3.01E+07,2.93E+07,2.95E+07,3.04E+07
Q13813-3,Q13813-3;A0A0D9SF54,SPTN1_HUMAN,SPTAN1,"Isoform 3 of Spectrin alpha chain, non-erythrocytic 1",1.03E+06,1.77E+06,1.95E+06,1.48E+06,1.77E+06,1.81E+06,2.66E+06,2.89E+06
Q13823,Q13823,NOG2_HUMAN,GNL2,Nucleolar GTP-binding protein 2,1.01E+07,8.33E+06,1.01E+07,7.93E+06,8.87E+06,8.09E+06,9.98E+06,7.67E+06
Q13825,Q13825;Q13825-2,AUHM_HUMAN,AUH,"Methylglutaconyl-CoA hydratase, mitochondrial",3.23E+06,,,,,3.22E+06,,2.79E+06
Q13838;Q13838-2,Q13838;Q13838-2;Q5STU3;A0A0G2JJZ9;A0A140T9X3;H0Y400,DX39B_HUMAN,DDX39B,Spliceosome RNA helicase DDX39B,2.41E+08,2.98E+08,2.18E+08,2.88E+08,2.37E+08,2.80E+08,2.37E+08,2.80E+08
Q13867,Q13867;K7ESE8,BLMH_HUMAN,BLMH,Bleomycin hydrolase,2.79E+07,3.00E+07,2.87E+07,3.16E+07,2.86E+07,2.85E+07,2.71E+07,3.05E+07
Q13868,Q13868;Q13868-2;Q13868-3;A3KFL5;A3KFL2;A3KFL1,EXOS2_HUMAN,EXOSC2,Exosome complex component RRP4,1.16E+07,1.51E+07,1.23E+07,1.39E+07,1.38E+07,1.34E+07,1.37E+07,1.55E+07
Q13884,Q13884;Q13884-2;A0A3B3ITC2,SNTB1_HUMAN,SNTB1,Beta-1-syntrophin,,638079,,1.26E+06,,688321,528201,1.05E+06
Q13885,Q13885,TBB2A_HUMAN,TUBB2A,Tubulin beta-2A chain,1.34E+07,1.56E+07,1.20E+07,1.53E+07,1.35E+07,1.61E+07,1.28E+07,1.54E+07
Q13888,Q6P1K8;Q13888;D6RIT7;R4GMS9;D6RJD3;D6RID8;D6RGC9,TF2H2_HUMAN,GTF2H2,General transcription factor IIH subunit 2,3.88E+06,3.46E+06,5.04E+06,3.17E+06,5.01E+06,3.45E+06,4.95E+06,3.50E+06
Q13889;Q13889-2,Q13889;Q13889-2;A0A087WYD5;H0YFF7;F5GWD3,TF2H3_HUMAN,GTF2H3,General transcription factor IIH subunit 3,2.21E+06,,2.04E+06,,2.02E+06,,2.38E+06,2.29E+06
Q13895,Q13895,BYST_HUMAN,BYSL,Bystin,1.59E+07,1.36E+07,1.66E+07,1.53E+07,1.75E+07,1.33E+07,1.75E+07,1.54E+07
Q13901,Q13901;J3KPZ4,C1D_HUMAN,C1D,Nuclear nucleic acid-binding protein C1D,5.05E+06,5.83E+06,,3.63E+06,,,,1.78E+06
Q13907;Q13907-2,Q13907;Q13907-2,IDI1_HUMAN,IDI1,Isopentenyl-diphosphate Delta-isomerase 1,3.56E+06,3.60E+06,2.94E+06,3.23E+06,2.94E+06,3.12E+06,3.66E+06,3.10E+06
Q13948-9,Q13948;Q13948-2;Q13948-9;Q13948-10;P39880-9,CASP_HUMAN,CUX1,Isoform 9 of Protein CASP,1.36E+06,,1.23E+06,,1.15E+06,998034,1.27E+06,927360
Q13951,Q13951;J3KS23,PEBB_HUMAN,CBFB,Core-binding factor subunit beta,2.90E+06,2.22E+06,3.48E+06,,2.47E+06,,2.00E+06,1.53E+06
Q13951-2,Q13951-2;J3KTD8,PEBB_HUMAN,CBFB,Isoform 2 of Core-binding factor subunit beta,1.05E+07,9.79E+06,1.06E+07,1.06E+07,1.13E+07,1.03E+07,9.03E+06,9.82E+06
Q13952;Q13952-3,Q13952;Q13952-3,NFYC_HUMAN,NFYC,Nuclear transcription factor Y subunit gamma,8.27E+06,8.93E+06,9.29E+06,7.65E+06,7.07E+06,8.20E+06,7.98E+06,9.11E+06
Q14004;Q14004-2,Q14004;Q14004-2;A0A2R8YF61;A0A2R8Y4Z0;A0A2R8Y7W5,CDK13_HUMAN,CDK13,Cyclin-dependent kinase 13,2.07E+06,1.95E+06,1.97E+06,2.15E+06,1.81E+06,2.15E+06,1.84E+06,1.68E+06
Q14008;Q14008-2,Q14008;Q14008-2;Q14008-3;H0YDX5,CKAP5_HUMAN,CKAP5,Cytoskeleton-associated protein 5,3.11E+07,2.68E+07,3.08E+07,2.50E+07,2.97E+07,2.47E+07,3.05E+07,2.77E+07
Q14011,Q14011;Q14011-2;K7ELT6;K7ENX8;K7EJV1;K7EMY9;K7EJV5;K7ER40;K7EQR7;K7ELV6;D6W5Y5;K7EPM4,CIRBP_HUMAN,CIRBP,Cold-inducible RNA-binding protein,2.93E+07,2.76E+07,2.74E+07,2.85E+07,2.62E+07,3.29E+07,2.66E+07,2.71E+07
Q14012,Q14012;H7C071,KCC1A_HUMAN,CAMK1,Calcium/calmodulin-dependent protein kinase type 1,3.81E+06,3.46E+06,4.45E+06,4.35E+06,4.94E+06,4.31E+06,4.30E+06,3.88E+06
Q14019,Q14019,COTL1_HUMAN,COTL1,Coactosin-like protein,1.39E+07,1.37E+07,1.31E+07,1.35E+07,1.26E+07,1.43E+07,1.39E+07,1.16E+07
Q14050,Q14050,CO9A3_HUMAN,COL9A3,Collagen alpha-3(IX) chain,,,,,639347,,235231,
Q14061,Q14061;C9J8T6,COX17_HUMAN,COX17,Cytochrome c oxidase copper chaperone,3.89E+06,3.29E+06,2.55E+06,3.05E+06,4.01E+06,1.85E+06,2.27E+06,2.39E+06
Q14103;Q14103-3,Q14103;Q14103-2;Q14103-3;Q14103-4;H0Y8G5;H0YA96,HNRPD_HUMAN,HNRNPD,Heterogeneous nuclear ribonucleoprotein D0,4.39E+08,5.47E+08,4.84E+08,4.93E+08,4.38E+08,5.16E+08,4.85E+08,5.40E+08
Q14108,Q14108;Q14108-2;A0A1W2PQB7;A0A1W2PQR6;A0A1W2PPU6;A0A1W2PPX5;A0A1W2PS43;D6RDG0;A0A1W2PSE4;A0A1W2PNX7;A0A1W2PRS1;A0A1W2PS70,SCRB2_HUMAN,SCARB2,Lysosome membrane protein 2,5.12E+06,5.32E+06,3.79E+06,5.25E+06,4.55E+06,5.60E+06,5.64E+06,5.00E+06
Q14118,Q14118,DAG1_HUMAN,DAG1,Dystroglycan 1,2.32E+06,2.17E+06,2.46E+06,2.28E+06,3.29E+06,1.93E+06,2.34E+06,2.27E+06
Q14126,Q14126,DSG2_HUMAN,DSG2,Desmoglein-2,6.40E+06,5.67E+06,6.43E+06,4.72E+06,6.26E+06,4.92E+06,5.56E+06,5.09E+06
Q14135;Q14135-2;Q14135-4;Q14135-5;Q14135-6,Q14135;Q14135-2;Q14135-4;Q14135-5;Q14135-6;E7EQU6;A0A075B6E4;A0A0A6YYI5;E7EWF5;E7ERW0;G5E9M7;G5E9M9,VGLL4_HUMAN,VGLL4,Transcription cofactor vestigial-like protein 4,,,,,664718,,905898,
Q14137,Q14137;Q14137-2,BOP1_HUMAN,BOP1,Ribosome biogenesis protein BOP1,1.54E+07,1.62E+07,1.55E+07,1.53E+07,1.33E+07,1.57E+07,1.41E+07,1.62E+07
Q14139;Q14139-2,Q14139;Q14139-2,UBE4A_HUMAN,UBE4A,Ubiquitin conjugation factor E4 A,4.42E+06,4.65E+06,4.97E+06,4.31E+06,4.50E+06,4.11E+06,4.57E+06,3.51E+06
Q14141;Q14141-2;Q14141-4,Q14141;Q14141-2;Q14141-3;Q14141-4;B1AMS2,SEPT6_HUMAN,SEPTIN6,Septin-6,770580,1.94E+06,1.43E+06,1.72E+06,1.47E+06,1.78E+06,1.60E+06,1.45E+06
Q14145,Q14145;K7EQX2,KEAP1_HUMAN,KEAP1,Kelch-like ECH-associated protein 1,4.17E+06,3.68E+06,3.93E+06,3.78E+06,4.33E+06,3.57E+06,4.20E+06,3.37E+06
Q14146,Q14146,URB2_HUMAN,URB2,Unhealthy ribosome biogenesis protein 2 homolog,7.15E+06,5.49E+06,7.59E+06,6.66E+06,7.62E+06,6.20E+06,7.43E+06,5.52E+06
Q14147,Q14147,DHX34_HUMAN,DHX34,Probable ATP-dependent RNA helicase DHX34,1.88E+06,1.62E+06,2.23E+06,1.18E+06,1.39E+06,1.64E+06,1.64E+06,1.44E+06
Q14149,Q14149,MORC3_HUMAN,MORC3,MORC family CW-type zinc finger protein 3,4.59E+06,5.01E+06,5.14E+06,5.04E+06,5.23E+06,4.88E+06,4.32E+06,5.15E+06
Q14151,Q14151,SAFB2_HUMAN,SAFB2,Scaffold attachment factor B2,1.46E+07,1.79E+07,1.59E+07,1.70E+07,1.55E+07,1.77E+07,1.50E+07,1.80E+07
Q14152,Q14152;Q14152-2,EIF3A_HUMAN,EIF3A,Eukaryotic translation initiation factor 3 subunit A,5.62E+07,5.17E+07,5.58E+07,4.96E+07,5.46E+07,5.14E+07,5.72E+07,5.47E+07
Q14155-1;Q14155-5,Q14155;Q14155-1;Q14155-2;Q14155-3;Q14155-5;Q14155-6;B1ALK7;E9PDQ5;A0A2R8YG42;F6SJA5;E7EUY6,ARHG7_HUMAN,ARHGEF7,Isoform 1 of Rho guanine nucleotide exchange factor 7,7.66E+06,7.62E+06,7.24E+06,7.08E+06,7.06E+06,6.44E+06,6.97E+06,6.96E+06
Q14156;Q14156-2,Q14156;Q14156-2;A0A1B0GUZ7,EFR3A_HUMAN,EFR3A,Protein EFR3 homolog A,526290,775625,593826,856887,743461,755933,726329,660862
Q14157-1;Q14157-4,Q14157-1;Q14157-4,UBP2L_HUMAN,UBAP2L,Isoform 2 of Ubiquitin-associated protein 2-like,,,,814923,870777,801581,1.18E+06,1.24E+06
Q14157;Q14157-5,Q14157;Q14157-1;Q14157-3;Q14157-4;Q14157-5;F8W726,UBP2L_HUMAN,UBAP2L,Ubiquitin-associated protein 2-like,3.76E+07,3.88E+07,3.87E+07,3.59E+07,4.11E+07,3.72E+07,4.11E+07,3.99E+07
Q14160,Q14160;Q14160-2;Q14160-3;A0A0G2JMS7;A0A0G2JPP5;A0A669KB89;A0A0G2JNZ2;H0YCG0,SCRIB_HUMAN,SCRIB,Protein scribble homolog,8.49E+06,9.42E+06,8.40E+06,9.52E+06,9.45E+06,9.32E+06,7.22E+06,7.68E+06
Q14161;Q14161-5;Q14161-8,Q14161;Q14161-2;Q14161-5;Q14161-7;Q14161-8;Q14161-9;R4GNG3,GIT2_HUMAN,GIT2,ARF GTPase-activating protein GIT2,4.82E+06,4.40E+06,4.41E+06,5.67E+06,5.05E+06,5.41E+06,5.27E+06,5.42E+06
Q14165,Q14165;F5GX14;F5H1S8,MLEC_HUMAN,MLEC,Malectin,7.39E+06,7.40E+06,7.96E+06,1.15E+07,9.31E+06,8.22E+06,7.38E+06,6.71E+06
Q14166,Q14166,TTL12_HUMAN,TTLL12,Tubulin--tyrosine ligase-like protein 12,1.92E+07,2.14E+07,1.83E+07,2.19E+07,1.81E+07,2.09E+07,1.84E+07,2.07E+07
Q14168;Q14168-2;Q14168-3;Q14168-4;Q14168-6,Q14168;Q14168-2;Q14168-3;Q14168-4;Q14168-5;Q14168-6;D3DX48;A0A0C4DH75;B4DZ84;A0A0A0MRU0;A0A0D9SFF8;D3DX49,MPP2_HUMAN,MPP2,MAGUK p55 subfamily member 2,1.83E+06,1.63E+06,1.44E+06,1.72E+06,1.69E+06,1.97E+06,1.57E+06,1.58E+06
Q14181,Q14181;A0A3B3ITS5,DPOA2_HUMAN,POLA2,DNA polymerase alpha subunit B,9.86E+06,1.20E+07,8.48E+06,1.10E+07,9.51E+06,1.19E+07,8.09E+06,9.30E+06
Q14185,Q14185;A0A096LNH6,DOCK1_HUMAN,DOCK1,Dedicator of cytokinesis protein 1,,,,817110,,,598747,
Q14186,Q14186;F5H452;Q5JSB6;Q5JSB5,TFDP1_HUMAN,TFDP1,Transcription factor Dp-1,3.52E+06,2.85E+06,3.86E+06,2.68E+06,3.87E+06,2.95E+06,3.53E+06,2.70E+06
